ID,target
test_344_Nucleus,0.75
test_345_Nucleus,0.66
test_346_Nucleus,0.62
test_347_Nucleus,0.54
test_348_Nucleus,0.35
test_349_Nucleus,0.7
test_350_Nucleus,0.36
test_351_Nucleus,0.75
test_352_Nucleus,0.74
test_353_Nucleus,0.21
test_354_Nucleus,0.2
test_355_Nucleus,0.66
test_356_Nucleus,0.61
test_357_Nucleus,0.63
test_358_Nucleus,0.48
test_359_Nucleus,0.88
test_360_Nucleus,0.7
test_361_Nucleus,0.73
test_362_Nucleus,0.65
test_363_Nucleus,0.5
test_364_Nucleus,0.79
test_365_Nucleus,0.53
test_366_Nucleus,0.84
test_367_Nucleus,0.49
test_368_Nucleus,0.61
test_369_Nucleus,0.74
test_370_Nucleus,0.61
test_371_Nucleus,0.51
test_372_Nucleus,0.63
test_373_Nucleus,0.75
test_374_Nucleus,0.52
test_375_Nucleus,0.75
test_376_Nucleus,0.4
test_377_Nucleus,0.76
test_378_Nucleus,0.62
test_379_Nucleus,0.69
test_380_Nucleus,0.6
test_381_Nucleus,0.56
test_382_Nucleus,0.7
test_383_Nucleus,0.87
test_384_Nucleus,0.66
test_385_Nucleus,0.46
test_386_Nucleus,0.39
test_387_Nucleus,0.68
test_388_Nucleus,0.76
test_389_Nucleus,0.66
test_390_Nucleus,0.6
test_391_Nucleus,0.77
test_392_Nucleus,0.78
test_393_Nucleus,0.63
test_394_Nucleus,0.68
test_395_Nucleus,0.61
test_396_Nucleus,0.52
test_397_Nucleus,0.73
test_398_Nucleus,0.4
test_399_Nucleus,0.62
test_400_Nucleus,0.77
test_401_Nucleus,0.6
test_402_Nucleus,0.78
test_403_Nucleus,0.66
test_404_Nucleus,0.54
test_405_Nucleus,0.51
test_406_Nucleus,0.79
test_407_Nucleus,0.74
test_408_Nucleus,0.74
test_409_Nucleus,0.59
test_410_Nucleus,0.66
test_411_Nucleus,0.59
test_412_Nucleus,0.61
test_413_Nucleus,0.64
test_414_Nucleus,0.61
test_415_Nucleus,0.88
test_416_Nucleus,0.69
test_417_Nucleus,0.64
test_418_Nucleus,0.6
test_419_Nucleus,0.71
test_420_Nucleus,0.64
test_421_Nucleus,0.66
test_422_Nucleus,0.62
test_423_Nucleus,0.78
test_424_Nucleus,0.79
test_425_Nucleus,0.67
test_426_Nucleus,0.76
test_427_Nucleus,0.73
test_428_Nucleus,0.9
test_429_Nucleus,0.6
test_430_Nucleus,0.72
test_431_Nucleus,0.83
test_432_Nucleus,0.72
test_433_Nucleus,0.5
test_434_Nucleus,0.56
test_435_Nucleus,0.2
test_436_Nucleus,0.55
test_437_Nucleus,0.58
test_438_Nucleus,0.58
test_439_Nucleus,0.75
test_440_Nucleus,0.65
test_441_Nucleus,0.65
test_442_Nucleus,0.66
test_443_Nucleus,0.72
test_444_Nucleus,0.58
test_445_Nucleus,0.72
test_446_Nucleus,0.67
test_447_Nucleus,0.56
test_448_Nucleus,0.68
test_449_Nucleus,0.5
test_450_Nucleus,0.87
test_451_Nucleus,0.68
test_452_Nucleus,0.66
test_453_Nucleus,0.95
test_454_Nucleus,0.9
test_455_Nucleus,0.95
test_456_Nucleus,0.94
test_457_Nucleus,0.92
test_458_Nucleus,0.99
test_459_Nucleus,0.92
test_460_Nucleus,0.96
test_461_Nucleus,0.91
test_462_Nucleus,0.9
test_463_Nucleus,0.98
test_464_Nucleus,0.97
test_465_Nucleus,0.99
test_466_Nucleus,0.99
test_467_Nucleus,0.98
test_468_Nucleus,0.99
test_469_Nucleus,0.99
test_470_Nucleus,1.0
test_471_Nucleus,0.94
test_472_Nucleus,0.98
test_473_Nucleus,0.94
test_474_Nucleus,0.75
test_475_Nucleus,0.86
test_476_Nucleus,0.98
test_477_Nucleus,0.68
test_478_Nucleus,0.56
test_479_Nucleus,0.88
test_480_Nucleus,0.72
test_481_Nucleus,0.88
test_482_Nucleus,0.49
test_483_Nucleus,0.82
test_484_Nucleus,0.7
test_485_Nucleus,0.75
test_486_Nucleus,0.64
test_487_Nucleus,0.84
test_488_Nucleus,0.66
test_489_Nucleus,0.91
test_490_Nucleus,0.68
test_491_Nucleus,0.8
test_492_Nucleus,0.65
test_493_Nucleus,0.83
test_494_Nucleus,0.85
test_495_Nucleus,0.85
test_496_Nucleus,0.73
test_497_Nucleus,0.9
test_498_Nucleus,0.63
test_499_Nucleus,0.53
test_500_Nucleus,0.86
test_501_Nucleus,0.87
test_502_Nucleus,0.48
test_503_Nucleus,0.69
test_504_Nucleus,0.87
test_505_Nucleus,0.57
test_506_Nucleus,0.5
test_507_Nucleus,0.63
test_508_Nucleus,0.41
test_509_Nucleus,0.36
test_510_Nucleus,0.71
test_511_Nucleus,0.71
test_512_Nucleus,0.68
test_513_Nucleus,0.9
test_514_Nucleus,0.88
test_515_Nucleus,0.54
test_516_Nucleus,0.54
test_517_Nucleus,0.69
test_518_Nucleus,0.48
test_519_Nucleus,0.41
test_520_Nucleus,0.57
test_521_Nucleus,0.71
test_522_Nucleus,0.65
test_523_Nucleus,0.55
test_524_Nucleus,0.58
test_525_Nucleus,0.77
test_526_Nucleus,0.55
test_527_Nucleus,0.63
test_528_Nucleus,0.81
test_529_Nucleus,0.65
test_530_Nucleus,0.74
test_531_Nucleus,0.55
test_532_Nucleus,0.64
test_533_Nucleus,0.77
test_534_Nucleus,0.85
test_535_Nucleus,0.85
test_536_Nucleus,0.75
test_537_Nucleus,0.66
test_538_Nucleus,0.79
test_539_Nucleus,0.47
test_540_Nucleus,0.81
test_541_Nucleus,0.62
test_542_Nucleus,0.57
test_543_Nucleus,0.86
test_544_Nucleus,0.39
test_545_Nucleus,0.72
test_546_Nucleus,0.8
test_547_Nucleus,0.71
test_548_Nucleus,0.76
test_549_Nucleus,0.67
test_550_Nucleus,0.6
test_551_Nucleus,0.27
test_552_Nucleus,0.51
test_553_Nucleus,0.48
test_554_Nucleus,0.61
test_555_Nucleus,0.65
test_556_Nucleus,0.37
test_557_Nucleus,0.39
test_558_Nucleus,0.85
test_559_Nucleus,0.67
test_560_Nucleus,0.65
test_561_Nucleus,0.78
test_562_Nucleus,0.88
test_563_Nucleus,0.44
test_564_Nucleus,0.5
test_565_Nucleus,0.55
test_566_Nucleus,0.84
test_567_Nucleus,0.86
test_568_Nucleus,0.67
test_569_Nucleus,0.93
test_570_Nucleus,0.59
test_571_Nucleus,0.71
test_572_Nucleus,0.7
test_573_Nucleus,0.69
test_574_Nucleus,0.56
test_575_Nucleus,0.86
test_576_Nucleus,0.82
test_577_Nucleus,0.83
test_578_Nucleus,0.63
test_579_Nucleus,0.77
test_580_Nucleus,0.78
test_581_Nucleus,0.78
test_582_Nucleus,0.61
test_583_Nucleus,0.71
test_584_Nucleus,0.63
test_585_Nucleus,0.87
test_586_Nucleus,0.71
test_587_Nucleus,0.54
test_588_Nucleus,0.67
test_589_Nucleus,0.69
test_590_Nucleus,0.77
test_591_Nucleus,0.6
test_592_Nucleus,0.74
test_593_Nucleus,0.6
test_594_Nucleus,0.78
test_595_Nucleus,0.73
test_596_Nucleus,0.94
test_597_Nucleus,0.69
test_598_Nucleus,0.66
test_599_Nucleus,0.67
test_600_Nucleus,0.5
test_601_Nucleus,0.54
test_602_Nucleus,0.86
test_603_Nucleus,0.77
test_604_Nucleus,0.58
test_605_Nucleus,0.84
test_606_Nucleus,0.88
test_607_Nucleus,0.84
test_608_Nucleus,0.57
test_609_Nucleus,0.59
test_610_Nucleus,0.67
test_611_Nucleus,0.63
test_612_Nucleus,0.75
test_613_Nucleus,0.82
test_614_Nucleus,0.79
test_615_Nucleus,0.59
test_616_Nucleus,0.56
test_617_Nucleus,0.72
test_618_Nucleus,0.56
test_619_Nucleus,0.51
test_620_Nucleus,0.83
test_621_Nucleus,0.83
test_622_Nucleus,0.5
test_623_Nucleus,0.8
test_624_Nucleus,0.95
test_625_Nucleus,0.63
test_626_Nucleus,0.57
test_627_Nucleus,0.95
test_628_Nucleus,0.67
test_629_Nucleus,0.83
test_630_Nucleus,0.67
test_631_Nucleus,0.79
test_632_Nucleus,0.48
test_633_Nucleus,0.36
test_634_Nucleus,0.58
test_635_Nucleus,0.88
test_636_Nucleus,0.73
test_637_Nucleus,0.76
test_638_Nucleus,0.66
test_639_Nucleus,0.59
test_640_Nucleus,0.66
test_641_Nucleus,0.77
test_642_Nucleus,0.5
test_643_Nucleus,0.8
test_644_Nucleus,0.68
test_645_Nucleus,0.5
test_646_Nucleus,0.82
test_647_Nucleus,0.81
test_648_Nucleus,0.98
test_649_Nucleus,0.76
test_650_Nucleus,0.47
test_651_Nucleus,0.78
test_652_Nucleus,0.69
test_653_Nucleus,0.58
test_654_Nucleus,0.68
test_655_Nucleus,0.61
test_656_Nucleus,0.48
test_657_Nucleus,0.76
test_658_Nucleus,0.84
test_659_Nucleus,0.63
test_660_Nucleus,0.7
test_661_Nucleus,0.8
test_662_Nucleus,0.46
test_663_Nucleus,0.72
test_664_Nucleus,0.55
test_665_Nucleus,0.62
test_666_Nucleus,0.65
test_667_Nucleus,0.45
test_668_Nucleus,0.58
test_669_Nucleus,0.73
test_670_Nucleus,0.78
test_671_Nucleus,0.7
test_672_Nucleus,0.58
test_673_Nucleus,0.68
test_674_Nucleus,0.89
test_675_Nucleus,0.59
test_676_Nucleus,0.51
test_677_Nucleus,0.69
test_678_Nucleus,0.69
test_679_Nucleus,0.68
test_680_Nucleus,0.71
test_681_Nucleus,0.64
test_682_Nucleus,0.62
test_683_Nucleus,0.9
test_684_Nucleus,0.88
test_685_Nucleus,0.76
test_686_Nucleus,0.72
test_687_Nucleus,0.65
test_688_Nucleus,0.7
test_689_Nucleus,0.79
test_690_Nucleus,0.73
test_691_Nucleus,0.53
test_692_Nucleus,0.63
test_693_Nucleus,0.53
test_694_Nucleus,0.5
test_695_Nucleus,0.49
test_696_Nucleus,0.64
test_697_Nucleus,0.59
test_698_Nucleus,0.52
test_699_Nucleus,0.46
test_700_Nucleus,0.6
test_701_Nucleus,0.8
test_702_Nucleus,0.9
test_703_Nucleus,0.7
test_704_Nucleus,0.71
test_705_Nucleus,0.64
test_706_Nucleus,0.51
test_707_Nucleus,0.5
test_708_Nucleus,0.54
test_709_Nucleus,0.52
test_710_Nucleus,0.49
test_711_Nucleus,0.59
test_712_Nucleus,0.71
test_713_Nucleus,0.66
test_714_Nucleus,0.92
test_715_Nucleus,0.57
test_716_Nucleus,0.81
test_717_Nucleus,0.83
test_718_Nucleus,0.75
test_719_Nucleus,0.76
test_720_Nucleus,0.67
test_721_Nucleus,0.66
test_722_Nucleus,0.76
test_723_Nucleus,0.65
test_724_Nucleus,0.57
test_725_Nucleus,0.69
test_726_Nucleus,0.68
test_727_Nucleus,0.72
test_728_Nucleus,0.54
test_729_Nucleus,0.83
test_730_Nucleus,0.74
test_731_Nucleus,0.68
test_732_Nucleus,0.6
test_733_Nucleus,0.68
test_734_Nucleus,0.66
test_735_Nucleus,0.63
test_736_Nucleus,0.39
test_737_Nucleus,0.68
test_738_Nucleus,0.65
test_739_Nucleus,0.68
test_740_Nucleus,0.77
test_741_Nucleus,0.69
test_742_Nucleus,0.67
test_743_Nucleus,0.66
test_744_Nucleus,0.59
test_745_Nucleus,0.65
test_746_Nucleus,0.69
test_747_Nucleus,0.73
test_748_Nucleus,0.72
test_749_Nucleus,0.72
test_750_Nucleus,0.72
test_751_Nucleus,0.54
test_752_Nucleus,0.76
test_753_Nucleus,0.75
test_754_Nucleus,0.71
test_755_Nucleus,0.69
test_756_Nucleus,0.73
test_757_Nucleus,0.71
test_758_Nucleus,0.73
test_759_Nucleus,0.65
test_760_Nucleus,0.65
test_761_Nucleus,0.86
test_762_Nucleus,0.68
test_763_Nucleus,0.66
test_764_Nucleus,0.82
test_765_Nucleus,0.68
test_766_Nucleus,0.62
test_767_Nucleus,0.63
test_768_Nucleus,0.81
test_769_Nucleus,0.75
test_770_Nucleus,0.71
test_771_Nucleus,0.52
test_772_Nucleus,0.68
test_773_Nucleus,0.58
test_774_Nucleus,0.78
test_775_Nucleus,0.62
test_776_Nucleus,0.82
test_777_Nucleus,0.76
test_778_Nucleus,0.71
test_779_Nucleus,0.62
test_780_Nucleus,0.18
test_781_Nucleus,0.65
test_782_Nucleus,0.68
test_783_Nucleus,0.74
test_784_Nucleus,0.69
test_785_Nucleus,0.63
test_786_Nucleus,0.61
test_787_Nucleus,0.71
test_788_Nucleus,0.57
test_789_Nucleus,0.74
test_790_Nucleus,0.55
test_791_Nucleus,0.81
test_792_Nucleus,0.57
test_793_Nucleus,0.78
test_794_Nucleus,0.74
test_795_Nucleus,0.64
test_796_Nucleus,0.93
test_797_Nucleus,0.71
test_798_Nucleus,0.78
test_799_Nucleus,0.79
test_800_Nucleus,0.52
test_801_Nucleus,0.73
test_802_Nucleus,0.92
test_803_Nucleus,0.73
test_804_Nucleus,0.72
test_805_Nucleus,0.5
test_806_Nucleus,0.78
test_807_Nucleus,0.46
test_808_Nucleus,0.65
test_809_Nucleus,0.66
test_810_Nucleus,0.64
test_811_Nucleus,0.55
test_812_Nucleus,0.48
test_813_Nucleus,0.6
test_814_Nucleus,0.74
test_815_Nucleus,0.67
test_816_Nucleus,0.57
test_817_Nucleus,0.57
test_818_Nucleus,0.5
test_819_Nucleus,0.8
test_820_Nucleus,0.88
test_821_Nucleus,0.74
test_822_Nucleus,0.54
test_823_Nucleus,0.84
test_824_Nucleus,0.85
test_825_Nucleus,0.65
test_826_Nucleus,0.89
test_827_Nucleus,0.85
test_828_Nucleus,0.52
test_829_Nucleus,0.34
test_830_Nucleus,0.47
test_831_Nucleus,0.64
test_832_Nucleus,0.45
test_833_Nucleus,0.75
test_834_Nucleus,0.85
test_835_Nucleus,0.54
test_836_Nucleus,0.69
test_837_Nucleus,0.72
test_838_Nucleus,0.75
test_839_Nucleus,0.6
test_840_Nucleus,0.81
test_841_Nucleus,0.8
test_842_Nucleus,0.67
test_843_Nucleus,0.67
test_844_Nucleus,0.66
test_845_Nucleus,0.76
test_846_Nucleus,0.45
test_847_Nucleus,0.73
test_848_Nucleus,0.63
test_849_Nucleus,0.88
test_850_Nucleus,0.75
test_851_Nucleus,0.85
test_852_Nucleus,0.77
test_853_Nucleus,0.81
test_854_Nucleus,0.91
test_855_Nucleus,0.73
test_856_Nucleus,0.75
test_857_Nucleus,0.71
test_858_Nucleus,0.66
test_859_Nucleus,0.79
test_860_Nucleus,0.74
test_861_Nucleus,0.62
test_862_Nucleus,0.63
test_863_Nucleus,0.65
test_864_Nucleus,0.53
test_865_Nucleus,0.72
test_866_Nucleus,0.71
test_867_Nucleus,0.86
test_868_Nucleus,0.81
test_869_Nucleus,0.72
test_870_Nucleus,0.69
test_871_Nucleus,0.74
test_872_Nucleus,0.73
test_873_Nucleus,0.82
test_874_Nucleus,0.86
test_875_Nucleus,0.62
test_876_Nucleus,0.8
test_877_Nucleus,0.95
test_878_Nucleus,0.79
test_879_Nucleus,0.76
test_880_Nucleus,0.52
test_881_Nucleus,0.87
test_882_Nucleus,0.76
test_883_Nucleus,0.29
test_884_Nucleus,0.81
test_885_Nucleus,0.84
test_886_Nucleus,0.93
test_887_Nucleus,0.45
test_888_Nucleus,0.77
test_889_Nucleus,0.74
test_890_Nucleus,0.47
test_891_Nucleus,0.84
test_892_Nucleus,0.67
test_893_Nucleus,0.67
test_894_Nucleus,0.84
test_895_Nucleus,0.66
test_896_Nucleus,0.8
test_897_Nucleus,0.25
test_898_Nucleus,0.77
test_899_Nucleus,0.88
test_900_Nucleus,0.69
test_901_Nucleus,0.77
test_902_Nucleus,0.63
test_903_Nucleus,0.92
test_904_Nucleus,0.75
test_905_Nucleus,0.9
test_906_Nucleus,0.69
test_907_Nucleus,0.56
test_908_Nucleus,0.64
test_909_Nucleus,0.54
test_910_Nucleus,0.67
test_911_Nucleus,0.7
test_912_Nucleus,0.73
test_913_Nucleus,0.71
test_914_Nucleus,0.79
test_915_Nucleus,0.68
test_916_Nucleus,0.65
test_917_Nucleus,0.19
test_918_Nucleus,0.33
test_919_Nucleus,0.65
test_920_Nucleus,0.76
test_921_Nucleus,0.59
test_922_Nucleus,0.47
test_923_Nucleus,0.7
test_924_Nucleus,0.84
test_925_Nucleus,0.75
test_926_Nucleus,0.86
test_927_Nucleus,0.76
test_928_Nucleus,0.63
test_929_Nucleus,0.85
test_930_Nucleus,0.26
test_931_Nucleus,0.51
test_932_Nucleus,0.72
test_933_Nucleus,0.57
test_934_Nucleus,0.81
test_935_Nucleus,0.8
test_936_Nucleus,0.58
test_937_Nucleus,0.72
test_938_Nucleus,0.49
test_939_Nucleus,0.78
test_940_Nucleus,0.65
test_941_Nucleus,0.62
test_942_Nucleus,0.38
test_943_Nucleus,0.72
test_944_Nucleus,0.74
test_945_Nucleus,0.68
test_946_Nucleus,0.69
test_947_Nucleus,0.85
test_948_Nucleus,0.8
test_949_Nucleus,0.61
test_950_Nucleus,0.73
test_951_Nucleus,0.75
test_952_Nucleus,0.85
test_953_Nucleus,0.51
test_954_Nucleus,0.65
test_955_Nucleus,0.67
test_956_Nucleus,0.75
test_957_Nucleus,0.75
test_958_Nucleus,0.68
test_959_Nucleus,0.69
test_960_Nucleus,0.66
test_961_Nucleus,0.59
test_962_Nucleus,0.8
test_963_Nucleus,0.67
test_964_Nucleus,0.61
test_965_Nucleus,0.57
test_966_Nucleus,0.68
test_967_Nucleus,0.76
test_968_Nucleus,0.79
test_969_Nucleus,0.65
test_970_Nucleus,0.85
test_971_Nucleus,0.83
test_972_Nucleus,0.79
test_973_Nucleus,0.78
test_974_Nucleus,0.83
test_975_Nucleus,0.83
test_976_Nucleus,0.82
test_977_Nucleus,0.72
test_978_Nucleus,0.74
test_979_Nucleus,0.83
test_980_Nucleus,0.76
test_981_Nucleus,0.54
test_982_Nucleus,0.57
test_983_Nucleus,0.52
test_984_Nucleus,0.22
test_985_Nucleus,0.1
test_986_Nucleus,0.41
test_987_Nucleus,0.45
test_988_Nucleus,0.75
test_989_Nucleus,0.73
test_990_Nucleus,0.69
test_991_Nucleus,0.67
test_992_Nucleus,0.63
test_993_Nucleus,0.57
test_994_Nucleus,0.61
test_995_Nucleus,0.6
test_996_Nucleus,0.52
test_997_Nucleus,0.55
test_998_Nucleus,0.72
